ano,mes,maquina,central,codigo_agente,agente_descripcion,region,provincia,pais,tipo_maquina,fuente_generacion,tecnologia,categoria_hidraulica,categoria_region,generacion_neta,grupo_economico,lon,lat,geo_nombre,geo_tecnologia,geo_nombre_age,potencia_instalada,geo_provincia,geo_sistema
2025,2025-03-01,LCAMTG01,LCAM,CTLCAMPG,CT LOMA CAMPANA 1 -YPF,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,TG,,Comahue,60049.271,YPF ENERGÍA ELÉCTRICA S.A.,-68.7148242358121,-38.3595604538842,LOMA CAMPANA,Térmica,CT LOMA CAMPANA 1 -YPF,105.0,NEUQUEN,Interconectado MEM
2025,2025-03-01,LCASEO,LCASEO,PECASTEG,P.EOLICO LA CASTELLANA,BUENOS AIRES,BUENOS AIRES,Argentina,EOLICA,Renovable,EOL,,Gba - Litoral - Buenos Aires,31424.593,CENTRAL PUERTO S.A.,-62.7086780619504,-38.628586478119,PE La Castellana,Eólica,P.EOLICO LA CASTELLANA,100.8,BUENOS AIRES,Interconectado MEM
2025,2025-03-01,LDCUHI,LDCUHI,PAHCTMEG,PAH CT MENDOZA - ENARSA,CUYO,MENDOZA,Argentina,HIDRAULICA <=50,Renovable,HI<50,Resto Hidráulico,Cuyo,460.79,Sin clasificar,-68.9312299311865,-33.0463842204093,PAH L.D.CUYO EN,Hidroeléctrica (Menor a 50 Mw),PAH CT MENDOZA - ENARSA,1.0,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTG22,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA,CUYO,MENDOZA,Argentina,TURBO GAS,Térmica,TG,,Cuyo,1530.349,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTG23,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA,CUYO,MENDOZA,Argentina,TURBO GAS,Térmica,TG,,Cuyo,1962.999,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTG24,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA,CUYO,MENDOZA,Argentina,TURBO GAS,Térmica,TG,,Cuyo,2058.458,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTG25,LDCU,CTMENPLG,C. TERMICAS MENDOZA PLUS,CUYO,MENDOZA,Argentina,TURBO GAS,Térmica,CC,,Cuyo,97183.476,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTG26,LDCU,LUJCUYOC,LUJAN DE CUYO COGENERAC.PUERTO,CUYO,MENDOZA,Argentina,TURBO GAS,Térmica,CC,,Cuyo,32522.274,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTG27,LDCU,LUJCUYOC,LUJAN DE CUYO COGENERAC.PUERTO,CUYO,MENDOZA,Argentina,TURBO GAS,Térmica,CC,,Cuyo,33026.508,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
2025,2025-03-01,LDCUTV11,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA,CUYO,MENDOZA,Argentina,TURBO VAPOR,Térmica,TV,,Cuyo,3608.853,CENTRAL PUERTO S.A.,-68.9808278777804,-33.0556831430012,LUJAN DE CUYO,Térmica,C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO,573.556,MENDOZA,Interconectado MEM
